,USGS-04234000
1925-02-15,4.336559642450638
1925-02-16,2.9309161721390513
1925-02-17,2.9383929991087934
1925-02-18,2.1009883784976364
1925-02-19,1.9963128009212414
1925-02-20,1.9664054930422719
1925-02-21,2.063604243648924
1925-02-22,3.581400118506647
1925-02-23,7.125416102164582
1925-02-24,10.617094297034317
1925-02-25,4.822553395483898
1925-02-26,5.6300507082160856
1925-02-27,2.50473703486373
1925-02-28,2.1383725133463485
1925-03-01,1.9364981851633016
1925-03-02,1.7794848187987098
1925-03-03,1.5551800097064354
1925-03-04,1.6075177984946327
1925-03-05,1.4430276051602982
1925-03-06,1.4131202972813284
1925-03-07,1.6374251063736027
1925-03-08,2.5869821315308976
1925-03-09,2.9383929991087934
1925-03-10,2.4748297269847606
1925-03-11,2.7365186709257467
1925-03-12,2.5122138618334726
1925-03-13,1.876683569405362
1925-03-14,4.097301179418878
1925-03-15,4.388897431238834
1925-03-16,2.2654785718319705
1925-03-17,2.3701541494083656
1925-03-18,2.7290418439560047
1925-03-19,4.725354644877246
1925-03-20,2.983253960927249
1925-03-21,2.1981871291042885
1925-03-22,1.9065908772843316
1925-03-23,1.6897628951618002
1925-03-24,1.6075177984946327
1925-03-25,1.5776104906156627
1925-03-26,1.5551800097064354
1925-03-27,1.5701336636459204
1925-03-28,3.745890311840981
1925-03-29,4.112254833358363
1925-03-30,3.588876945476389
1925-03-31,3.738413484871239
1925-04-01,3.2898038666866904
1925-04-02,3.140267327291841
1925-04-03,3.140267327291841
1925-04-04,2.6916577091072917
1925-04-05,2.2430480909227435
1925-04-06,1.7944384727381946
1925-04-07,1.5252727018274654
1925-04-08,1.6075177984946327
1925-04-09,1.3458288545536459
1925-04-10,1.1962923151587965
1925-04-11,1.1962923151587965
1925-04-12,1.3084447197049338
1925-04-13,1.2112459690982813
1925-04-14,1.046755775763947
1925-04-15,1.3383520275839036
1925-04-16,1.360782508493131
1925-04-17,1.0691862566731742
1925-04-18,0.9346033712178098
1925-04-19,1.487888566978753
1925-04-20,5.906693306096558
1925-04-21,2.093511551527894
1925-04-22,1.6374251063736027
1925-04-23,1.4430276051602982
1925-04-24,1.3906898163721007
1925-04-25,1.2336764500075088
1925-04-26,1.65985558728283
1925-04-27,1.360782508493131
1925-04-28,1.0916167375824017
1925-04-29,1.001894813945492
1925-04-30,1.0841399106126595
1925-05-01,1.9963128009212414
1925-05-02,2.332770014559653
1925-05-03,1.8392994345566496
1925-05-04,1.4654580860695257
1925-05-05,4.381420604269092
1925-05-06,2.168279821225319
1925-05-07,2.063604243648924
1925-05-08,1.8392994345566496
1925-05-09,1.4654580860695257
1925-05-10,1.2860142387957063
1925-05-11,1.8093921266776796
1925-05-12,1.8392994345566496
1925-05-13,1.2860142387957063
1925-05-14,1.1140472184916292
1925-05-15,1.046755775763947
1925-05-16,0.8972192363690973
1925-05-17,1.1290008724311142
1925-05-18,1.1364776994008565
1925-05-19,0.8972192363690973
1925-05-20,0.8598351015203849
1925-05-21,0.7252522160650204
1925-05-22,0.7102985621255354
1925-05-23,0.6729144272768229
1925-05-24,0.7252522160650204
1925-05-25,0.8374046206111576
1925-05-26,0.7626363509137327
1925-05-27,0.6579607733373382
1925-05-28,0.515901060912231
1925-05-29,0.6430071193978532
1925-05-30,0.7177753890952778
1925-05-31,0.5607620227306859
1925-06-01,0.5607620227306859
1925-06-02,0.5981461575793983
1925-06-03,0.5532851957609434
1925-06-04,0.44860961818454864
1925-06-05,0.35141086757789647
1925-06-06,0.3140267327291841
1925-06-07,0.28411942485021413
1925-06-08,0.4187023103055788
1925-06-09,0.4187023103055788
1925-06-10,0.3588876945476389
1925-06-11,0.29159625181995663
1925-06-12,0.26916577091072924
1925-06-13,0.23178163606201685
1925-06-14,0.2093511551527894
1925-06-15,0.24673529000150177
1925-06-16,0.3065499057594416
1925-06-17,0.29159625181995663
1925-06-18,0.29907307878969913
1925-06-19,0.28411942485021413
1925-06-20,0.23178163606201685
1925-06-21,0.22430480909227432
1925-06-22,0.19439750121330443
1925-06-23,0.23178163606201685
1925-06-24,0.19439750121330443
1925-06-25,0.4187023103055788
1925-06-26,0.5383315418214585
1925-06-27,0.26916577091072924
1925-06-28,0.6953449081860503
1925-06-29,1.046755775763947
1925-06-30,1.6673324142525725
1925-07-01,0.8374046206111576
1925-07-02,0.6280534654583682
1925-07-03,0.6280534654583682
1925-07-04,0.44860961818454864
1925-07-05,0.8000204857624451
1925-07-06,0.5532851957609434
1925-07-07,0.3588876945476389
1925-07-08,0.3588876945476389
1925-07-09,0.3215035596989266
1925-07-10,0.9121728903085824
1925-07-11,1.6000409715248902
1925-07-12,0.7102985621255354
1925-07-13,0.4187023103055788
1925-07-14,0.3140267327291841
1925-07-15,0.28411942485021413
1925-07-16,0.3215035596989266
1925-07-17,1.801915299707937
1925-07-18,0.9121728903085824
1925-07-19,0.5906693306096558
1925-07-20,0.44860961818454864
1925-07-21,0.3663645215173814
1925-07-22,0.8374046206111576
1925-07-23,2.108465205467379
1925-07-24,0.9794643330362647
1925-07-25,0.6355302924281107
1925-07-26,0.6430071193978532
1925-07-27,1.0093716409152347
1925-07-28,0.6056229845491407
1925-07-29,0.9645106790967796
1925-07-30,0.8374046206111576
