,dayl (s),prcp (mm/day),srad (W/m2),swe (kg/m2),tmax (degrees C),tmin (degrees C),vp (Pa)
2008-01-02,32260.240234375,1.090000033378601,95.61000061035156,1.090000033378601,-6.179999828338623,-9.65999984741211,293.69000244140625
2008-01-03,32309.58984375,0.0,231.69000244140625,1.090000033378601,-7.380000114440918,-17.809999465942383,150.6999969482422
2008-01-04,32362.630859375,0.0,257.5400085449219,1.090000033378601,-0.8500000238418579,-14.859999656677246,192.8999938964844
2008-01-05,32419.310546875,2.0999999046325684,185.1000061035156,3.190000057220459,4.130000114440918,-8.579999923706055,319.7900085449219
2008-01-06,32479.599609375,0.0,246.57000732421875,1.7899999618530271,10.210000038146973,-2.6600000858306885,502.010009765625
2008-01-07,32543.44921875,0.0,216.66000366210935,0.0,17.299999237060547,4.170000076293945,822.9199829101562
2008-01-08,32610.8203125,0.0,191.6300048828125,0.0,18.549999237060547,8.369999885559082,1099.510009765625
2008-01-09,32681.66015625,0.0,155.36000061035156,0.0,13.640000343322754,6.559999942779541,971.7000122070312
2008-01-10,32755.91015625,2.9100000858306885,141.86000061035156,0.0,6.25,-2.5199999809265137,507.3699951171875
2008-01-11,32833.53125,2.680000066757202,151.41000366210938,0.0,9.289999961853027,-0.5899999737739563,584.8900146484375
2008-01-12,32914.4609375,0.0,127.7300033569336,0.0,4.96999979019165,-0.2000000029802322,601.75
2008-01-13,32998.6484375,1.149999976158142,197.0500030517578,0.0,4.739999771118164,-4.110000133514404,450.489990234375
2008-01-14,33086.03125,2.970000028610229,91.02999877929688,0.0,2.400000095367432,-2.390000104904175,512.3300170898438
2008-01-15,33176.55859375,2.200000047683716,41.790000915527344,0.0,-0.5699999928474426,-2.5199999809265137,507.4100036621094
2008-01-16,33270.1796875,0.6700000166893005,153.27000427246094,0.6700000166893005,-0.8700000047683716,-6.199999809265137,384.4599914550781
2008-01-17,33366.80859375,0.5699999928474426,236.8600006103516,1.2300000190734863,1.850000023841858,-7.539999961853027,346.6300048828125
2008-01-18,33466.41015625,0.0,242.3000030517578,1.2300000190734863,2.9600000381469727,-6.760000228881836,368.2999877929688
2008-01-19,33568.921875,0.0,230.6000061035156,1.2300000190734863,-1.3899999856948853,-10.020000457763672,285.510009765625
2008-01-20,33674.26171875,0.0,186.9199981689453,1.2300000190734863,-6.090000152587891,-12.43000030517578,235.3600006103516
2008-01-21,33782.37890625,0.0,242.2400054931641,1.2300000190734863,-4.659999847412109,-13.65999984741211,212.8699951171875
2008-01-22,33893.2109375,0.0,279.739990234375,1.2300000190734863,0.4699999988079071,-11.619999885559082,251.3300018310547
2008-01-23,34006.69140625,0.0,212.3300018310547,1.2300000190734863,-2.970000028610229,-10.220000267028809,280.9800109863281
2008-01-24,34122.76171875,0.0,200.08999633789065,1.2300000190734863,-3.2300000190734863,-9.859999656677246,289.1499938964844
2008-01-25,34241.3515625,0.0,227.3000030517578,1.2300000190734863,-1.940000057220459,-9.720000267028809,292.2699890136719
2008-01-26,34362.3984375,0.75,236.41000366210935,1.9800000190734863,-2.430000066757202,-10.529999732971191,274.0400085449219
2008-01-27,34485.8515625,0.0,190.58999633789065,1.9800000190734863,-0.8500000238418579,-6.929999828338623,363.5
2008-01-28,34611.62109375,0.0,226.2400054931641,1.9800000190734863,1.1399999856948853,-6.340000152587891,380.2799987792969
2008-01-29,34739.671875,3.25,216.8300018310547,1.7599999904632568,6.150000095367432,-5.46999979019165,406.3200073242188
2008-01-30,34869.921875,0.0,232.6300048828125,0.5699999928474426,4.519999980926514,-3.150000095367432,484.010009765625
2008-01-31,35002.30859375,4.289999961853027,194.67999267578125,4.860000133514404,-0.6399999856948853,-9.399999618530272,299.6700134277344
2008-02-01,35136.78125,21.3799991607666,178.17999267578125,4.599999904632568,2.359999895095825,-5.400000095367432,408.7300109863281
2008-02-02,35273.26953125,0.0,146.77000427246094,2.740000009536743,2.720000028610229,-1.5499999523162842,545.2100219726562
2008-02-03,35411.71875,0.0,200.2700042724609,1.399999976158142,2.9800000190734863,-2.8299999237060547,495.8500061035156
2008-02-04,35552.0703125,5.760000228881836,146.35000610351562,0.0,4.559999942779541,-1.7200000286102295,538.530029296875
2008-02-05,35694.25,25.299999237060547,179.00999450683594,0.0,9.300000190734863,1.0299999713897705,657.7999877929688
2008-02-06,35838.2109375,11.869999885559082,70.7300033569336,0.0,2.950000047683716,0.3600000143051147,627.030029296875
2008-02-07,35983.890625,0.9399999976158142,199.75999450683597,0.0,1.8200000524520876,-3.900000095367432,457.5700073242188
2008-02-08,36131.23046875,0.4699999988079071,217.72000122070312,0.0,1.309999942779541,-4.960000038146973,422.489990234375
2008-02-09,36280.1796875,1.0099999904632568,209.3300018310547,0.0,2.2699999809265137,-3.5799999237060547,468.9700012207031
2008-02-10,36430.6796875,1.0800000429153442,329.7099914550781,1.0800000429153442,-0.270000010728836,-10.130000114440918,283.04998779296875
2008-02-11,36582.671875,0.0,307.989990234375,1.0800000429153442,-7.659999847412109,-15.979999542236328,175.77000427246094
2008-02-12,36736.109375,4.829999923706055,275.25,5.909999847412109,-2.569999933242798,-15.789999961853027,178.5399932861328
2008-02-13,36890.94140625,4.659999847412109,256.19000244140625,10.56999969482422,0.7900000214576721,-9.6899995803833,292.9800109863281
2008-02-14,37047.1015625,0.0,300.20001220703125,10.56999969482422,0.6000000238418579,-7.480000019073486,348.4100036621094
2008-02-15,37204.55078125,1.1699999570846558,317.7099914550781,11.739999771118164,0.7799999713897705,-8.029999732971191,333.75
2008-02-16,37363.23828125,0.0,373.9299926757813,11.739999771118164,-1.090000033378601,-13.470000267028809,216.3500061035156
2008-02-17,37523.12109375,2.680000066757202,300.7900085449219,14.420000076293944,9.229999542236328,-10.579999923706056,272.95001220703125
2008-02-18,37684.12890625,0.9900000095367432,378.5299987792969,13.460000038146973,9.770000457763672,-3.7200000286102295,463.8900146484375
2008-02-19,37846.23828125,1.1299999952316284,278.9200134277344,14.59000015258789,-0.1599999964237213,-7.349999904632568,351.95001220703125
2008-02-20,38009.3984375,0.0,250.6199951171875,14.59000015258789,-4.369999885559082,-10.449999809265137,275.79998779296875
2008-02-21,38173.55859375,1.5700000524520874,315.760009765625,16.170000076293945,-3.509999990463257,-11.539999961853027,252.88999938964844
2008-02-22,38338.6796875,2.509999990463257,181.5,18.68000030517578,-2.3299999237060547,-7.960000038146973,335.4599914550781
2008-02-23,38504.71875,0.0,319.1700134277344,18.68000030517578,-1.5299999713897705,-9.470000267028809,298.07000732421875
2008-02-24,38671.62890625,0.0,421.8399963378906,18.68000030517578,3.2799999713897705,-11.829999923706056,247.0399932861328
2008-02-25,38839.37890625,0.0,423.4599914550781,18.68000030517578,4.599999904632568,-10.460000038146973,275.739990234375
2008-02-26,39007.91015625,12.210000038146973,219.2100067138672,18.549999237060547,1.5199999809265137,-5.679999828338623,399.9299926757813
2008-02-27,39177.19921875,0.0,313.9800109863281,18.549999237060547,-2.200000047683716,-9.880000114440918,288.54998779296875
2008-02-28,39347.2109375,0.0,404.4400024414063,18.549999237060547,-7.340000152587891,-18.790000915527344,138.63999938964844
2008-02-29,39517.8984375,2.069999933242798,344.1600036621094,20.61000061035156,-0.3700000047683716,-20.88999938964844,115.61000061035156
